question,answer,option_one,option_two,option_three,feedback,test_section,test_type
le temps,masculine,feminine,,,,1,2
la chose,feminine,masculine,,,,1,2
l'homme,masculine,feminine,,,,1,2
le jour,masculine,feminine,,,,1,2
la femme,feminine,masculine,,,,1,2
l'enfant,masculine,feminine,,,,1,2
la vie,feminine,masculine,,,,1,2
le moment,masculine,feminine,,,,1,2
le monsieur,masculine,feminine,,,,1,2
la madame,feminine,masculine,,,,1,2
le monde,masculine,feminine,,,,1,2
l'année,feminine,masculine,,,,1,2
le temps,les temps,,,,,2,1
la chose,les choses,,,,,2,1
l'homme,les hommes,,,,,2,1
le jour,les jours,,,,,2,1
la femme,les femmes,,,,,2,1
l'enfant,les enfants,,,,,2,1
la vie,les vies,,,,,2,1
le moment,les moments,,,,,2,1
le monsieur,les messieurs,,,,,2,1
la madame,les mesdames,,,,,2,1
le monde,les mondes,,,,,2,1
l'année,les années,,,,,2,1
le temps,les temps,,,,,3,4
la chose,les choses,,,,,3,4
l'homme,les hommes,,,,,3,4
le jour,les jours,,,,,3,4
la femme,les femmes,,,,,3,4
l'enfant,les enfants,,,,,3,4
la vie,les vies,,,,,3,4
le moment,les moments,,,,,3,4
le monsieur,les messieurs,,,,,3,4
la madame,les mesdames,,,,,3,4
le monde,les mondes,,,,,3,4
l'année,les années,,,,,3,4
un problème,le problème,,,,,4,1
une main,la main,,,,,4,1
un endroit,l'endroit,,,,,4,1
une entreprise,l'entreprise,,,,,4,1
un argent,l'argent,,,,,4,1
une histoire,l'histoire,,,,,4,1
une information,l'information,,,,,4,1
un travail,le travail,,,,,4,1
une question,la question,,,,,4,1
un point,le point,,,,,4,1
un gouvernement,le gouvernement,,,,,4,1
un système,le système,,,,,4,1
le problème,un problème,,,,,5,1
la main,une main,,,,,5,1
l'endroit,un endroit,,,,,5,1
l'entreprise,une entreprise,,,,,5,1
l'argent,un argent,,,,,5,1
l'histoire,une histoire,,,,,5,1
l'information,une information,,,,,5,1
le travail,un travail,,,,,5,1
la question,une question,,,,,5,1
le point,un point,,,,,5,1
le gouvernement,un gouvernement,,,,,5,1
le système,un système,,,,,5,1
Je vais ...... bureau,Je vais au bureau,,,,,6,1
Elle parle ...... professeur,Elle parle au professeur,,,,,6,1
Ils sont allés ...... plage,Ils sont allés à la plage,,,,,6,1
Nous allons ...... marché,Nous allons au marché,,,,,6,1
Tu as rendu visite ...... amis,Tu as rendu visite aux amis,,,,,6,1
Il a acheté des fruits ...... supermarché,Il a acheté des fruits au supermarché,,,,,6,1
Elle est allée ...... école,Elle est allée à l'école,,,,,6,1
Je pense ...... problème,Je pense au problème,,,,,6,1
Elle rêve ...... vacances,Elle rêve aux vacances,,,,,6,1
Il parle ...... directrice,Il parle à la directrice,,,,,6,1
Nous avons répondu ...... questions,Nous avons répondu aux questions,,,,,6,1
Il travaille ...... hôpital,Il travaille à l'hôpital,,,,,6,1
Je veux ...... chocolat,Je veux du chocolat,,,,,7,1
Elle a besoin ...... eau,Elle a besoin d'eau,,,,,7,1
Nous avons acheté ...... pommes,Nous avons acheté des pommes,,,,,7,1
Il parle ...... histoire,Il parle de l'histoire,,,,,7,1
Ils ont pris ...... voiture et ...... bus,Ils ont pris la voiture et le bus,,,,,7,1
Je vais acheter ...... pain,Je vais acheter du pain,,,,,7,1
Il est fan ...... musique,Il est fan de musique,,,,,7,1
Nous avons visité ...... château et ...... musée,Nous avons visité le château et le musée,,,,,7,1
Elle a trouvé ...... solution,Elle a trouvé la solution,,,,,7,1
Tu as besoin ...... conseil,Tu as besoin de conseils,,,,,7,1
Nous avons parlé ...... projet,Nous avons parlé du projet,,,,,7,1
Ils ont choisi ...... options,Ils ont choisi des options,,,,,7,1
